language.2,count
English,556
Spanish,365
French,322
German,271
Italian,162
Arabic,106
Russian,104
Chinese,97
Japanese,88
Portuguese,52
Turkish,40
Cantonese,38
Polish,34
Hindi,25
Swedish,25
Latin,24
Hungarian,21
Dutch,20
Hebrew (modern),18
Danish,18
Greek (modern),15
Korean,14
Romanian,14
Irish,13
Czech,12
Tagalog,12
Thai,12
Vietnamese,12
Persian (Farsi),11
Catalan,11
Norwegian,10
Urdu,10
No spoken language,9
"Bengali, Bangla",9
Afrikaans,9
Finnish,9
Tamil,8
Bulgarian,8
Armenian,7
Icelandic,7
Malayalam,6
"Eastern Punjabi, Eastern Panjabi",6
Albanian,6
Ukrainian,6
Kurdish,5
Guaraní,5
Serbian,5
"Scottish Gaelic, Gaelic",5
Indonesian,5
Yiddish,5
Swahili,4
Georgian,4
Quechua,4
Marathi (Marāṭhī),4
Lingala,3
Azerbaijani,3
Amharic,3
Galician,3
Welsh,3
Xhosa,3
Croatian,3
Somali,3
Māori,3
Ganda,2
Gujarati,2
Northern Sami,2
Esperanto,2
Basque,2
"Pashto, Pushto",2
Kazakh,2
Chechen,2
Slovak,2
Telugu,2
Bambara,2
Bosnian,2
Burmese,2
Latvian,1
Belarusian,1
Assamese,1
Nepali,1
Kinyarwanda,1
"Tibetan Standard, Tibetan, Central",1
Igbo,1
Khmer,1
Abkhaz,1
Ido,1
Kannada,1
Bislama,1
Javanese,1
"Haitian, Haitian Creole",1
Aragonese,1
"Sinhalese, Sinhala",1
Wolof,1
Interlingue,1
Sanskrit (Saṁskṛta),1
Tonga (Tonga Islands),1
Serbo-Croatian,1
Hausa,1
